Name,Frequency,Variants,Confidence_Level
Gonzalez,647,Ted Gonzalez; Gonzales; Uh Gonzalez; Gonzalez Is Here; Gonzalez And Then We; Gonzalez Votes Yes; Gonzalezia; Gonzalez Votes; Gonzalezosia; Gonzalez Votes No; Gonzalez Gonzalez Votes Yes; Gonzalez Gonzalez Votes; Gonzalez Made The Motion,High
Brandt,598,Brandt Sierra; Brand; Brandt No Ma'Am; Brandt Yes; Brandt No; Brandt Yes Ma'Am; Brandt Excused; Brandt There; Brandt That; Brandt You'Re You; Brandt Though; Brandt And We'Ve; Brandt It; Brandt Was Talking About; Brandt For Bringing This; Brandt If You'Ll; Brandt So; Brandt Votes No; Brandt Votes Yes; Brandt Votes; Brandt On Senate Bill,High
Townsend,582,Townsend We'Re Going; Townsend Yes; Townsend Here; Townsend No; Townsend Yes Ma'Am; Leader Townsend,High
Dixon,537,Dixon For The Motion; Dixon Is There Any; Dixon Please; Dixon Second By Represented; Dixon We'Re Gonna; Dixon For The Lfc; Dixon Yes; Dixon Second By Ranking; Dixon And Then Represent; Dixon Go Ahead; Meredith Dixon; Dixon Promotion; Dixon And Then We; Dixon Here; Dixon And Then; Dixon Okay; Dixon For The Tabling; Elizabeth Dixon,High
Joshua Sanchez,531,Sanchez,High
Stewart,527,Stewart That; Stewart For Bringing This; Stewart Go Ahead; Mimi Stewart; Stewart With Us; Stewart It; Stewart Why Don; Stewart Here; Stewart But; Stewart Over The Last; Stewart For For Bringing; Stewart So With That; Stewart For Bringing It; Stewart For Your Work; Stewart Was Talking About; Stewart Stewart; Stewart Has Brought Forward; Stewart Yes; Stewart For This Bill; Stewart So; Stewart Are You There; Stewart No; Stewart Now; Stewart Any Further Discussion; Stewart Before; Stewart On The Amendment; Stewart Minute,High
Figueroa,492,Figueroa Here; Figueroa For Sponsoring This; Figueroa Are There Any; Figueroa Yes; Figuero; Figueroa Please; Figueroa Is There Any; Figueroa For Bringing This,High
Garcia,488,Garcia Next We'Re; Garcia That; Garcia Please; Garcia Yeah; Deborah Garcia; Garcia We'Re Gonna; Garcia For The Motion; Garcia Is There Any; Mercer Garcia; Garcia For The Second; Harry Garcia; Garcia Yes; Garcia Okay; Garcia There Any Opposition; Garcia It; Garcia Is That; Lex Garcia; Garcia Richard; Garcia Will Touch Base; Garcia But; Garcia This Does Not; Garcia Your; Garcia Let; Garcia And Then We; Garcia For His Tireless; Garcia For Bringing This; Garcia Was Kind Enough; Miguel Garcia,High
Pope,486,Popes; Pope To Explain His; Pope No; Pope Yes; Pope Yeah; Pope For Bringing This; Pope And Then We; Pope Let; Pope If You'Ll; Pope You'Ll Call; Pope Yes Sanders Sauls,High
Garrett,474,Garrett Thanks; Garre; Garrett Is There Any; Garrett And Then Represent; Garrett No; Represented Garrett; Garrett Yes; Garrett We'Re Gonna; Garrett For The Motion; Garratt; Garrett In The Opposition; Garrett Please Go Ahead; Joy Garrett; Garret; Garrett Please; Garrett Here; Garrett Care; Garrett Your; Garrett That; Garrett But,High
