Name,Frequency,Variants,Confidence_Level
Um,65,Um How; Pope Um; Stein Born Um; Um Nicole Chavez; Um Expert,High
Bradley,65,Branley; Bradley Votes,High
Stephanics,63,Stephonics; Stephanic,High
Guy Goes,63,Guy; Guy Goes Yes; Goes,High
Tobiasin,63,Tobiasinbotia,High
Doesn,62,Doe; Does,High
Penske,62,If The Penske; Penske Yes; Said Penske Yes; Penske No; So Penske Yes,High
More,61,We Have Three More; Seli Can Speak More; We Have One More; Dance More To Go; More Welcome; One More Question; Just One More Question; More It; More About Maya Yes; Has One More Thing; Talk About This More; Stein More; Asked For More Time,High
How To Meal Yes,61,How To Meal; Meal,High
Henry,60,,High
Go Ahead,60,Yes Go Ahead; Anderson Go Ahead; Okay Go Ahead; We'Ll Go Ahead; Schmedes Go Ahead; Should We Go Ahead; Ah; Go Ahead And Proceed; Candelaria Go Ahead; You Can Go Ahead; Go Ahead And Explain; Go Ahead And Do,High
Stansbury,60,Stansbury Yes; Stansbury Here,High
Hamblen Yes,56,Hamblen Yes Senate Bill; Hamblen Yes In Addition,High
Who,55,Okay Thank You Who; Dow Who; Day Hochman Vigil Who; John Arthur Smith Who; Malinga Claim Who; Who Doesn; Thompson Who,High
Fernandez,55,Fernan; Fernandes,High
Stand For Questions,54,All Stand For Questions; We Stand For Questions; Stand For Questions Okay; Stand,High
Fajardo,54,Fajardo Yes; Fajardo If You'Re,High
President,53,President That,High
So We,51,All Right So We; So We'Ll Go; Powdrell Culbert So We; So We'Re Talking; So We'Re; So We'Re All; So We Will Go; Okay So We'Re; So We Can Get; So We Didn; So We'Re Looking,High
Schmedes,50,Schmedes Yes,High
Members Of The Community,48,Com; Member,High
Clemente,47,Clemente Yes,High
Represented,46,Represented Pettigrew; Represented An Expert; Represented That,High
Care,46,Care Act; Care Act Yes; Members The Committee Care; Members Committee Care About; New Mexico Primary Care; Care Please; Career,High
Cadena,46,Cade,High
Bash,46,Bash Yes,High
Campos Votes Yes,46,Campos Votes,High
Charles,45,Members The Committee Charles; Charley,High
Sheer,45,,High
Stein Born,45,Stein Born Yes; Stein Born Boats; Stein Born Votes; Stein Born Stein Born,High
Duhigg,45,Duhig; Duhigg Yes; Duhigg To Make Sure; Duhigg Yeah,High
Torres Velasquez,44,Torres Velazquez; Torres; Velasquez; Torres Valesquez; Torres Valasquez; Tor,High
For Bringing The Bill,44,Bill,High
Maybe,44,May; Maybe That; Maybe It; Maybe Maybe,High
Gonzales Yes,44,,High
David,43,Davidson; Da; David Abbey And His; David Archuleta Has Moved; Wirth This Is David; Members The Committee David; David Lay,High
No Ma'Am,43,Rain No Ma'Am; Rehm No Ma'Am; Townsend No Ma'Am; Green No Ma'Am; Ma'Am,High
Doig,43,Doigg,High
Before,42,Just Before; Before We Get Started; So Before; Anything Else Before We; Before We Go Forward; Any Concluding Comments Before,High
With The New Mexico,42,,High
Ortez,42,Ortez Yes; Ortez Here,High
Dela Cruz,42,Dela Cruz And Then,High
Sorry,42,Sorry Thank You So; Members The Committee Sorry; Sorry It; Sorry Had To Step,High
Campos Yes,42,Campos Yes Campos Yes,High
Reap Yes,42,Read Yes; Reap,High
My Question Is About,41,About; My Question; Question,High
Russell,41,Rus; Russell That,High
Santa,41,From Santa Fe County; Santa If You Would; Here In Santa Fe; Santa And His Team; At Santa Fe Community; For The Santa Fe; Santa Cortez,High
Azel,41,,High
Shendo Yes,40,,High
Michael,39,Michael Padilla; Michael Pavia; Michael Pritom; Michael Kaplan,High
First,39,First Of All; You Know The First; Jaramillo First; First We'Ll Go; But First Of All; New Mexico Child First; For First Of All,High
Say,39,Hernandez Was Saying; Saying; So You'Re Saying; Scott Was Saying; Say It; So Are You Saying; So When You Say; You Want To Say; Allen To Say,High
Nighters,39,Night; Nighter,High
Morrison,39,Morris,High
Compos,39,Compost; Compose,High
Kenny,38,Kenny Has Been Meeting; Kenny From The Environment,High
Good Morning,38,Good Morning Everyone; Good Morning Everybody; Morning; Good Morning To You; Committee Members Good Morning; Good Morning Good Morning; Perea Warniment Good Morning; Good Morning Can You; Good Morning Everybody So; Good Morning To Everyone,High
Second,38,Give Me One Second; Seconded; Hamblen And The Second; Griggs Second; Campos For The Second; Ferrary In The Second; Mckenna Seconded; Tallman Seconds It; Mckenna For The Second; Tallman Seconds It Any; Masters For The Second; Ely Will Second That,High
For You,37,For Your Presentation; For Your Comments; For Your Bill; For Your Answers; For Your; Committee Members For Your; For Your Answer; For Your Time; For Your Patience,High
Lee,37,Lee Jean Amend This,High
Sariana,37,Saraana; Syriana,High
Karen,37,Karen Sanchez Griego; Karen Bash; Karen Bash Yes; Karen Carson; Karena,High
Phelps Anderson,37,Phelps,High
Smitteez,37,Smitteez No; Smitteez Yes,High
Nova,37,,High
Yes That,36,Yes That Is Correct; Then Yes Yes That; Yes That Would Work; Yes That Is Our; Ivey Soto Yes That,High
Anything,35,If You Have Anything; Do You Have Anything; Wants To Add Anything; Anything Else; Did You Have Anything,High
Also,35,Also It; So Also; Also Yes; Lewis That Also; Louise That Also; Lewis But Also; But Also,High
So That,34,No That; So That Would Be; Do That; Burt Yes So That; Menu Lcs So That; Just So That We; So That We Can,High
Terasas,34,Terazas; Terasa,High
For Green Latinos,34,Green,High
Scrase,34,Scrase And His Team,High
Gave,34,Gave Us; Gave Us Yes Ma,High
Wanted To Make Sure,34,Make Sure; Sure; Wanted,High
Matt Reeves,34,Reeves; Reeve,High
Cullen,33,,High
Royal Caballero,33,Caballero; Roy; Patricia Royal Caballero,High
If It,33,If If If It; If It If It,High
Dao,33,,High
Courtney,33,Court; John Courtney,High
Gregg,33,,High
Ivy Soto,33,Ivy Soto For Bringing; Ivy Soto He; Ivy Soto Would Like; Ivy Soto Is Proposed; Ivy Soto That We; Ivy Soto Is Done; Ivy Soto Stuart,High
Akan,33,Akan Yes,High
One Of The Things,32,One; Thing,High
Davis,32,George Davis; Davis Yes Ma'Am; Davis Yes,High
Steinberg,31,,High
Schendo,31,Schindo; Schendo Votes Yes,High
Rain Yes,31,Rain; Rain Yes Ma'Am,High
For The Question,30,Thanks For The Question,High
My Name Is Tom,30,Tom; My Name Is Jim,High
Miller,29,Miller For His Comments; Miller For Additional Comments; Miller For Any Additional; Margaret Miller,High
At The New Mexico,29,On The New Mexico; In The New Mexico,High
Members Of The Senate,29,,High
Burt Yes,29,,High
Neighbor,28,Neighborhood,High
Presenter,28,Presenters; Presented,High
Here In New Mexico,28,New Mexico; Mexico; In New Mexico,High
Smith,28,Smith Yes; Smith He,High
For Doing This,28,Doing,High
Linier,28,Linier Votes Yes; Linier Votes,High
Ivey Soto Yes,28,Ivey Soto Yes Ma,High
Props Just,27,Props; Pro,High
My Name Is Any,27,Any; My Name,High
Dell,27,Del,High
Rubio,27,Rubio Out Of Florida,High
Designate Collins,27,Collins; Collin,High
Looks Like,26,Like; Look; Looks Like You Got,High
Back,26,Back So; Anderson Are You Back; For The Public Back; Welcome Back; Back To You; Back To The Hospital,High
We Don,26,If We Don; We Do; We We Don,High
Anybody,26,Sanchez Anybody In Opposition; Do We Have Anybody; Does Anybody Have Any; Anybody Else; Anybody In The Audience; Do You Have Anybody,High
Abbey,26,Abbey Please,High
Anyone,26,Anyone Else; Anyone In The Audience; Anyone Else With Questions,High
Serato,26,,High
Smitty,26,Smitty Yes,High
Green Yes Ma'Am,26,Green Yes,High
So Then,25,Then,High
Richardson,25,Richard; Richards; Bill Richardson,High
On On Page,25,On Page; Page,High
Do It,25,Do It Let Me; Do It Yes,High
Semansky Yes,25,Semansky,High
Working,24,Work,High
Lohan,24,Lohan And Then Represent,High
Yes Sir,24,Sir; Kernan Yes Sir My,High
In Your Presentation,24,Your; Present,High
Case,24,Von Case; Von Case And Then; Cases,High
Cole,24,Terry Cole; Coleman,High
Members Of The Committees,24,Committees,High
Moya,24,Maribal Moya; Mirabel Moya; Maripal Moya; Mina Moya; Miramal Moya,High
For New Mexico Counties,24,,High
Okay So Let,24,Okay So; So Let,High
Brantly,24,,High
Keys,23,Alicia Keys; Key; Ricky Keys; Richard Keys,High
For The Motion,23,Sweetser For The Motion; Sanchez For The Motion; Anderson For The Motion; Ferrary For The Motion,High
Chaon Clark,23,Clark,High
With The National Federation,23,,High
Simon,23,Simon Let,High
Williams,23,Williams Stapleton,High
Met,23,Metes; Role Metal; Metzger,High
Didn,23,We Didn,High
Burke,23,,High
Louise,23,Louise That Off Us; Louis,High
So It,22,,High
For The Presentation,22,Thanks For The Presentation; For His Presentation; For Her Presentation,High
Thomas,22,Thomas Yes,High
Good To See You,22,,High
Anderson Yes,22,Phelps Anderson Yes,High
Hotmail,22,Hotmail Yes; Hotmail No,High
Martin Luther King Junior,22,King,High
Sanders,22,Sander; Pulp Sanderson; Sanderson; Paul Sanderson; Bob Sanderson,High
On That Point,21,On That Point Yes,High
Roberto Bobby,21,Robert; Bob; Bobby,High
Thanks,21,Thanks To Your Team; Thanks For Bringing This,High
Paypen,21,Paypen Yes,High
Etcetera,21,Etcetera That; Etcetera Etcetera,High
Soreana,20,Sareana,High
Wuhan,20,,High
As Well,20,As We,High
Isn,20,,High
We Can,20,We We Can; We Can Hear You; Campos We Can Hear; We Can We Can; If We Can Let,High
You'Re Welcome,20,Welcome; You'Re Welcome We,High
Eel,20,Eel To Explain Her,High
Sedillo,20,Cedillo; Sedillo Office; Sedillo This Is Bill,High
Deborah Condit,20,Deborah,High
German,19,Germany,High
You Got,19,Got; You Get,High
Poke,19,Poker,High
If There,19,If If There; If There Are No; In There; If There Would Be,High
Rounds,19,Stan Rounds Go Ahead; Rounds Are There Any,High
Herrerra,19,Herrerra Yes,High
For Being Here,19,For Being Here Today; For Being Here We; Being; Designate For Being Here,High
House Bill Twenty Nine,19,House Bill; Twenty; Nine,High
When She Took Office,19,Office; Too; Took Office,High
Cormann,19,Corman,High
Hockman,19,,High
Shando,19,Shando Votes Yes,High
Sapan Ski Yes,19,Sapan Ski; Japan Ski Yes,High
Current,18,All Current Yes,High
Dickson,18,Dicks,High
Lotta,18,Lot,High
Designate For The Department,18,For The Department,High
Terrazas,18,,High
Gaydos,18,Gaydos Yes,High
Zel,18,Zell,High
Leader,18,Majority Floor Leader; Thompson For Her Leadership,High
Common,18,For Common Cause New; With Common Cause New,High
Dorsey,18,,High
For The Time,17,Tim; Time,High
Linnier,17,Li; Lin,High
Support,17,Support For Economic Development; Has The Support Needed; We Support House Bill; Kernan For Her Support; We Stand In Support,High
How Many Of These,17,Man; These,High
On Senate Bill,17,Senate Bill; Senate; On Senate Bill One,High
Sweetser Please,17,,High
Over There,17,Over,High
Rose,17,Rosen; Rosel; Ros,High
Hilla,17,Hill,High
Kelly,17,,High
Do You Have Any,17,Do You Have An,High
My Estes Yes,17,My Estes,High
Trio,17,,High
Sapansy,17,,High
Good Afternoon,16,Good Afternoon Everyone; Good Afternoon And Welcome; Go; After,High
Greginsky,16,Groginsky; Greg,High
Connie Liu,16,Liu; Connie Lou; Connie,High
Serna,16,,High
Members The Committee When,16,Members The Committee Thanks; Members The Committee John; Members The Committee Chase; Members The Committee Stand; Members The Committee There,High
Grayson,16,Gray,High
Mohan,16,,High
Seven,16,House Bill One Seventy; Senate Bill One Seventy; You Have Seven Yeses,High
Graham,16,,High
On Line,16,Line,High
When You'Re,16,When You'Re Ready; When You'Re Talking; So When You'Re,High
Ezel,16,,High
Your Muted,16,,High
Lang,16,For Dual Language Education; Lang Was Talking About; Langenbrunner,High
Iglesias,16,Iglesias Please; Iglesias That,High
Parker,16,,High
Then Yes Yes,16,Then Yes Yes Yes; Yes Yes,High
Ferrary Yes,16,,High
At This Point,15,At This Point We,High
Shouldn,15,Should,High
Tarasa,15,Tarasas,High
We'Re Gonna Go,15,Gonna; We'Re Gonna Do,High
Terry,15,My Name Is Terry; Loretta Ross Elizabeth Terry,High
Jason Espinoza,15,Espinoza; Jason Espinoza Welcome,High
Okay Let,15,,High
Huh,15,Huh Yes,High
Laying,15,Laying Yes,High
But It,15,,High
Pajon,15,,High
Expert Witnesses,15,Expert Witness,High
Sindo,15,Sindo Votes Yes,High
Abita,15,,High
Dewey,15,,High
Figaro,14,,High
School,14,Products In School Bathrooms; Schools; High School; School And No Person; Albuquerque Public Schools,High
Kadena,14,,High
Position,14,,High
Bowie,14,Jason Bowie,High
We'Re We'Re,14,,High
Ring,14,,High
Dot,14,Dot Com,High
Baker,14,,High
Hermio,14,,High
Gleim,14,Gleim No,High
Ladda,14,Ladda Yes,High
Knows,14,Knows Yes,High
Yes It,14,Yes It Is It; Then Yes Yes It; Yes It Is Okay,High
Weller,14,,High
Jack,14,Jackson; Jim Jackson For Disability,High
Master,14,Masters,High
Duke,14,,High
For District,13,District; For District Thirty Eight,High
Heard It,13,Heard,High
Stated,13,State; Moore Stated,High
Minor,13,Andrew Minor; Thompson And Minority Leader,High
Barrera,13,Barreras,High
Under,13,Under Subsection; My Understanding Is That,High
Members Of The House,13,House,High
So If You Want,13,So If; If If You Want,High
Schardin Clarke,13,Clarke; Schardin Clarke Mention This,High
Chairs,13,,High
About This Can You,13,About This,High
Rolf Schmidt Petersen,13,Schmid; Schmidt,High
Burciaga,13,,High
Actually,13,,High
Neville Yes,13,,High
Tobison,13,,High
Britney But,13,,High
Sapanski,13,Sapansky,High
Nightmare Yes,13,Nightmare,High
Called It,12,Call; Called,High
Terror,12,,High
Pino,12,Ortiz Pino For Bringing; Ortiz Pino; Rtz Pinot,High
Quickly,12,Very Quickly,High
Wouldn,12,If You Wouldn,High
Declared,12,Declared Public Health Emergency; De,High
My Name Is Mark,12,Mark; My Name Is Hank; My Name Is Matt,High
Douglas,12,Doug,High
Sloan,12,,High
Saana,12,,High
Take,12,Sweetser Take; If You Could Take; Has Not Taken,High
Great To See You,12,See,High
Hammond,12,,High
Kerry,12,Kerr,High
Attorney,12,District Attorney; Attorney General,High
Silly,12,,High
Do You Want Me,12,Do You; Do You Want Us,High
Sam,12,Along The Same Lines; Samantha,High
For Aging And Long,12,,High
On Behalf Of Our,12,,High
Mccarthy,12,,High
Isel,12,,High
If You'Re Ready,12,,High
Jaramilo,12,Janamilo,High
Words,12,Word,High
For Teach Plus New,12,,High
Shendo Votes Yes,12,Votes Yes,High
Point Of Order,11,Po; Order; Point,High
For New Mexico Department,11,For New Mexico; Department,High
Members The Committee Represents,11,Represents,High
For Additional Comments,11,For Additional Comment; Macias For Additional Comments; Comments,High
Earlier,11,Earlier Today That,High
Hunt,11,Lou Hunt; Terrel Hunt,High
For The Corrections Department,11,Correct,High
Bauer,11,,High
Engineer,11,State Engineer,High
Sleep,11,Slee,High
Health Action New Mexico,11,,High
Beta,11,,High
Woman,11,,High
So There,11,,High
You'Re On Mute,11,,High
Local,11,,High
Jordan,11,Bill Jordan,High
Absolutely,11,Absolutely That; You'Re Absolutely Correct,High
New Mexico Kids Can,11,Kids,High
Cerrado,11,Linda Cerrado,High
Moved To Pass,11,Pass; Move; All Moved To Pass,High
Calling,11,Calling The Roll; Calling Role,High
Allen,11,,High
Sponsors,11,Sponsor,High
Renewable,11,Renewable Is That,High
Cenic,11,,High
Hamlet,11,,High
For The Audubon Society,11,,High
Berman,11,Bermans,High
Brett,11,,High
Where,11,Night Where Yes,High
Camposia,11,,High
Judiciary,11,Members Of The Judiciary; Welcome To House Judiciary,High
Ream,11,,High
Since,10,Since Twenty Seventeen,High
We'Ve Talked About,10,Talked About; Talk,High
Next We'Re Going,10,Next We'Re Gonna; Going,High
Something,10,Some,High
Jorgensen,10,,High
Buck,10,Bucket,High
Sale,10,,High
So How Do We,10,How; How Do,High
Swetser,10,Swetser Here; Swetser Yes,High
Adams,10,Adam,High
For The State Treasurer,10,Treasure; For The State,High
For The Children Youth,10,Child,High
Myron Armijo,10,Armijo,High
Chief Justice,10,Chief; Justice,High
Tear,10,,High
Capital Yes,10,Capital,High
Doll,10,,High
Others,10,Other; Others In The Same; Any Others In That; Great Thank You Others,High
Members Of The Commission,10,,High
Do We Have Any,10,,High
Sweetser Here,10,,High
If That,10,,High
If If,10,,High
Manager,10,Dunkin Thank You Manager,High
Weeks,10,,High
Process,10,Processes,High
Pat,10,Patrick; Committee Members Patrick Killen; My Name Is Pat,High
Hughes,10,,High
General,10,In General; For The General Services,High
Linda,10,Members The Committee Linda,High
With Your Permission,10,With You,High
Lustrom,10,,High
Novell,10,Novel; Novell No,High
Campos For Bringing This,10,,High
Sanchez Yes,10,,High
Burton,10,,High
Billington,10,Billington Leri Sonntag,High
For Any In New,10,For Any,High
Thompson For Bringing This,10,,High
Brant Votes Yes,10,,High
Yeo,10,,High
Each Of Us,10,,High
Gurola,9,,Medium
One Of My Questions,9,Questions,Medium
Just One Quick Question,9,Just One,Medium
At The Time,9,,Medium
Remembers,9,Remembers That,Medium
Bri For That,9,Bri,Medium
Salif,9,Sali,Medium
Hochman Vigil Yes,9,,Medium
Pedigree,9,,Medium
Members Of The Panel,9,Panel; Members Of The Many,Medium
Charron,9,Chardon,Medium
Cherry,9,,Medium
Sweetser Is There Any,9,Sweetser Is There,Medium
Put,9,,Medium
Monthly,9,Month,Medium
For That Answer,9,,Medium
For That Question,9,For For That Question,Medium
Did You Have Any,9,Did You; Did You Have An,Medium
Jobs,9,Job,Medium
Auditor,9,,Medium
Committee It Does Not,9,Not,Medium
Excuse Me,9,,Medium
Archuleta,9,,Medium
Brian,9,Brian Blaylock And Senior; Brian Moore,Medium
Jason Weaks,9,We Have Jason Weaks,Medium
For Donana County,9,County,Medium
Let Me Let Me,9,,Medium
Land,9,For The State Land; Land That; Landed Yes,Medium
Lunch,9,Lunchtime,Medium
Linte,9,,Medium
Docket Yes,9,Docket; Dock,Medium
Moon,9,Moon Yo,Medium
From District Fifty Nine,9,From District,Medium
For Aarp New Mexico,9,,Medium
Quite,9,,Medium
Sold Their,9,Sold,Medium
So Yes,9,,Medium
Riel,9,,Medium
City,9,,Medium
Sentence,9,Sent,Medium
For Bringing It,9,For Bringing It Forward,Medium
Staff,9,Her Chief Of Staff,Medium
Jim,9,,Medium
Part,9,On This Particular Piece; Night Part; My Part,Medium
Travis,9,Travis Here,Medium
Joanne,9,Joanne For Our,Medium
Reading,9,,Medium
Night Burt,9,,Medium
Night We'Re,9,,Medium
Covenant,9,,Medium
Really,8,Just Really Quickly; Really Appreciate It,Medium
Ward,8,,Medium
Sarana,8,Saranana,Medium
Timmons,8,Simmons,Medium
For Native American Early,8,America,Medium
Free,8,Freeman,Medium
If You Would Like,8,,Medium
Shepherd,8,,Medium
Respond,8,Then Respond; Through Here To Respond; Allen To Respond,Medium
Connor,8,,Medium
Getting,8,Get,Medium
At This Time,8,So At This Time; At This Time We,Medium
Pepin,8,,Medium
Sally,8,,Medium
Garland,8,,Medium
How To Me Yes,8,How To Me,Medium
For Me,8,,Medium
Bach,8,Bachmann,Medium
Wants,8,Taurus Wants To Add; Wants To Talk About; Wants To Do,Medium
Appreciate,8,Appreciate The Time; Appreciate It,Medium
Set,8,Setting At Yes; Do Set; Set Up Though,Medium
Hasn,8,Campos Hasn,Medium
With All Due Respect,8,,Medium
Online On Page Thirty,8,Online,Medium
We Do Have An,8,,Medium
Designee,8,Designee For The Economic,Medium
Hawkman,8,Hackman,Medium
Members Committee My Name,8,,Medium
Vetoed It,8,Vetoed,Medium
Bursey,8,Bursey August,Medium
Stern,8,,Medium
Person,8,,Medium
At The Mexico Chamber,8,Chamber,Medium
Valente,8,,Medium
Speaker Kind Lady,8,Lady,Medium
Any Other Questions,8,Other Questions,Medium
At All,8,At All Times,Medium
For Bringing This Legislation,8,,Medium
With New Mexico Family,8,,Medium
But That,8,But That That,Medium
Neville No,8,,Medium
Result,8,Result Please,Medium
On The List,8,Next On The List,Medium
Haven,8,,Medium
You Have An Expert,8,An Expert,Medium
In San Miguel County,8,Miguel,Medium
Mccatchen,8,Mccutchen,Medium
Aument,8,,Medium
Berkins,8,,Medium
Vargas,8,Vargas To Answer Your,Medium
For The Healthcare Authority,8,,Medium
Christine Sims,8,Sims,Medium
Just So You Know,8,Just So,Medium
Grant,8,Grant Votes Yes,Medium
Shino,8,Shino Votes Yes,Medium
Let Me Ask You,8,,Medium
Truhill,8,Trehill,Medium
Designate Cassano,8,Cassano,Medium
Molly Mclean,8,Mclean,Medium
Trusses,8,,Medium
Snyder Yes,8,Snyder,Medium
Guerreros,8,Guerreros Yes Ma'Am,Medium
Duha,8,Duhag,Medium
Chasing,8,,Medium
Morris Yes,8,,Medium
Kadina,8,,Medium
Ramiro,7,,Medium
For The Indian Affairs,7,India,Medium
Queen,7,,Medium
Coola,7,Cool,Medium
Cohen,7,,Medium
Issued An Executive Order,7,Issued,Medium
Zamora,7,,Medium
Bohan,7,,Medium
Vinson,7,,Medium
Warren,7,Stein Warren,Medium
Densmore,7,Dinsmore,Medium
Blalock,7,,Medium
Dear,7,,Medium
Next We'Ll Go,7,,Medium
Costello,7,,Medium
Sweetser For Our Motion,7,,Medium
Ferris,7,Ferri,Medium
Pereira,7,,Medium
Kind Of Explained That,7,Explained; Kind,Medium
Valdez,7,,Medium
For The Last Three,7,Three,Medium
For The Last Two,7,Two,Medium
House District Three Which,7,Which,Medium
Hundred Next We'Re,7,Hundred,Medium
For The Bill,7,,Medium
Silver,7,,Medium
Briefly,7,Just Briefly; Pettigrew Briefly,Medium
Macias,7,,Medium
Jessie Barnes,7,Barnes,Medium
On Section,7,Section; In Section,Medium
Curry,7,,Medium
Check,7,Checks,Medium
Emily Oster Administrative Services,7,Services; Service,Medium
Sandoval,7,Sando,Medium
You'Re You'Re,7,,Medium
Around,7,,Medium
Frank,7,Members The Committee Franklin; Members Of Canadian Franklin,Medium
For The Alzheimer,7,,Medium
Response,7,For Global Medical Response; For That Response,Medium
Appointees,7,,Medium
Dial,7,,Medium
Monte,7,Montes,Medium
Reese,7,Reese Yes,Medium
Harris Here,7,Harris,Medium
Hamblen No,7,,Medium
Bennett,7,Bennet,Medium
For The Rio Grande,7,Rio,Medium
Lock,7,Lock With The National; Locke,Medium
Guy It Goes,7,Guy It Goes Yes,Medium
Lemon,7,,Medium
Yes So,7,Then Yes Yes So,Medium
Give You,7,Just To Give You; Let Me Give You,Medium
Schmitt,7,,Medium
Thomann,7,Thoman,Medium
Noted,7,,Medium
Sarah Bortz,7,Sarah,Medium
Derrick,7,Derrick Please,Medium
Corolla Yes,7,Corolla,Medium
Margaret Cage,7,Cage,Medium
Next On My List,7,,Medium
Lillian Torrez,7,Torrez,Medium
For Over Twelve Years,7,Twelve; For Over,Medium
Taylor,7,,Medium
Campos So,7,Campos No,Medium
Tobias And Votes,7,Tobias And Votes Yes,Medium
Stuart,7,Ivey Soto Stuart,Medium
Gray For Cell Numbers,7,Number,Medium
Proposed,7,Ivey Soto Is Proposed; Ivey Soto This Proposed,Medium
Phillips,7,,Medium
Bone,7,,Medium
Hull,7,,Medium
Wasn,6,,Medium
Guola,6,,Medium
Amador,6,Am,Medium
Appointed,6,Appointee,Medium
So So,6,,Medium
Therasas,6,,Medium
Soli,6,,Medium
Everything,6,Every,Medium
Rometo,6,Rometo If You Would,Medium
Misia,6,,Medium
Fisher,6,,Medium
Future,6,For Bold Futures; With Gold Futures We,Medium
Laura,6,,Medium
Signed It,6,Signed,Medium
For The Economic Development,6,,Medium
Hernon,6,,Medium
Program Yes,6,Program,Medium
Subcommittee,6,Members Of The Subcommittee,Medium
Got Joe,6,Joe,Medium
Tiffany Rivera,6,Rivera,Medium
Dale,6,,Medium
Solely,6,,Medium
Seli,6,,Medium
Riley White,6,White,Medium
So With That,6,So With That We,Medium
As Amended,6,As Amended As Amended; As Amended Yes,Medium
House Bill Sixty Eight,6,Eight,Medium
Sharon,6,,Medium
Solomon,6,,Medium
Obeda,6,,Medium
Hamilton,6,Hami,Medium
If You If You,6,,Medium
Superintendent,6,,Medium
Gone,6,All Gone,Medium
Mayor,6,,Medium
Carroll,6,,Medium
Adrian,6,Adrian Bratcher,Medium
Box,6,Boxes,Medium
With That We Stand,6,,Medium
Campbell,6,,Medium
Members The Committee Carl,6,Members The Committee Marla; Members The Committee Larry,Medium
Myers,6,,Medium
Wilson,6,,Medium
Colbert,6,,Medium
Yes To Table,6,,Medium
With That Will Stand,6,,Medium
Uses,6,Use,Medium
Both,6,,Medium
Most Of My Questions,6,Most,Medium
Fleischer,6,,Medium
Mary,6,,Medium
Members The Committee Mike,6,Members The Committee Rikki,Medium
Bancos Yes Ma'Am,6,Yes Ma'Am,Medium
Why Don,6,,Medium
But Anyway,6,Anyway,Medium
Members Of The Board,6,,Medium
Okay Yes,6,,Medium
Move You Test,6,,Medium
Grace,6,,Medium
For Years,6,Years,Medium
Ross,6,,Medium
Shchino,6,,Medium
Duhe,6,Duheg,Medium
For Bringing Forth This,6,Fort,Medium
Lisa Hofler,6,Hofler,Medium
For The Early Childhood,6,,Medium
Ladder,6,,Medium
For Any New Mexico,6,,Medium
Dal Yes,6,Del Yes,Medium
For The Public Education,6,,Medium
For New Mexico Mesa,6,For New Mexico Yes,Medium
Tre Hill,6,Tru Hill,Medium
Burt No,6,Night Burt No,Medium
Sullivan,6,,Medium
Anderson Are You There,6,,Medium
Pants Yes,6,Pants,Medium
Mess,6,,Medium
Homan,6,,Medium
Right Yes,6,Night Yes; Right Yes Ma'Am,Medium
Ivey Soto You'Re,6,,Medium
Ivey Soto It,6,Ivey Soto If; Ivey Soto It Would,Medium
Risotto,6,,Medium
Pendergrass,5,Pen,Medium
For Pointing Out That,5,,Medium
Soz,5,,Medium
Ryan,5,Ryan Lane,Medium
Members Of The Coming,5,Members Of The Commi,Medium
Once,5,,Medium
Bloch,5,,Medium
Women,5,For The Southwest Women,Medium
Abeda,5,Abe,Medium
Tarazas,5,,Medium
Site,5,On Site,Medium
Lada,5,,Medium
One Question It,5,One Question,Medium
Jeremy,5,,Medium
Jeff,5,,Medium
Pettigrew Please,5,,Medium
Reagan,5,,Medium
Just To Clarify,5,,Medium
Eric,5,Erica Anderson,Medium
Michele Gallagher Roberts Cfo,5,Roberts,Medium
Avid,5,,Medium
Okay We'Re Gonna,5,,Medium
For Emotion,5,,Medium
Sanchez There,5,Sanchez There Any Opposition,Medium
Kinney,5,,Medium
Delacruz,5,,Medium
Makes,5,,Medium
Group,5,,Medium
We'Re Talking About,5,,Medium
Cordoba,5,,Medium
Gary,5,,Medium
My Name Is Jerry,5,Jerry,Medium
Anderson That,5,,Medium
Dall,5,Dallas,Medium
Turned,5,,Medium
Okay It,5,,Medium
Abby,5,,Medium
Pettigrew We'Re Gonna,5,,Medium
Anderson No,5,,Medium
Sweetser No,5,,Medium
Gwen Perea Warniment,5,Warniment,Medium
Cherif,5,,Medium
Probably,5,Richards Could Probably Answer,Medium
Fox Yes,5,Fox,Medium
Nelson,5,,Medium
My Name Is Becky,5,Beck,Medium
Law Enforcement,5,Law,Medium
Given,5,Give,Medium
Writing,5,,Medium
Real Quick,5,,Medium
Daylight,5,Day,Medium
Analyst,5,,Medium
Andrew Miner,5,Miner,Medium
Cheney,5,,Medium
Okay Thank You So,5,Okay Thank You We,Medium
Till,5,,Medium
Do Please,5,So Please,Medium
Census,5,,Medium
Having,5,About Having,Medium
Hail,5,,Medium
Whitty,5,,Medium
Just One Question,5,Worth Just One Question,Medium
For Recommendation,5,,Medium
Reto,5,,Medium
We Have An Amendment,5,,Medium
Later,5,Late,Medium
Casados,5,,Medium
For Those Reasons,5,Reason,Medium
Myself,5,Hochman Vigil And Myself,Medium
Steiner,5,,Medium
With New Mexico Idea,5,,Medium
You Able To Hear,5,,Medium
My Instance,5,,Medium
For The Gaming Control,5,Control,Medium
For This Bill,5,,Medium
Wagner,5,Ashley Wagner,Medium
Liz Thompson,5,Liz Thompson Yes,Medium
Dominic,5,,Medium
Though,5,,Medium
Representing,5,Representing Tens Of Thousands,Medium
