bill_id,bill_type,full_name,frequency,num_transcripts,variants
SB 54,SB,Senate Bill,11,11,"SB
54; SB 54; Senate Bill
54; Senate Bill 54; Senate bill
54"
SB 122,SB,Senate Bill,11,11,"SB 122; Senate Bill
122; Senate Bill 122; Senate bill
122"
HB 548,HB,House Bill,11,11,"HB
548; HB 548; House Bill
548; House Bill 548; house Bill
548"
HB 417,HB,House Bill,11,11,"HB
417; HB 417; House Bill
417; House Bill 417; house Bill
417"
SB 242,SB,Senate Bill,11,11,"SB
242; SB 242; Senate Bill
242; Senate Bill 242; Senate bill 242"
SB 480,SB,Senate Bill,11,11,"Senate Bill
480; Senate Bill 480; Senate bill 480"
HB 297,HB,House Bill,11,11,"House Bill
297; House Bill 297; house Bill
297"
HB 205,HB,House Bill,11,11,"HB
205; HB 205; House Bill
205; House Bill 205; House bill 205"
SB 30,SB,Senate Bill,11,11,"SB
30; SB 30; Senate Bill
30; Senate Bill 30"
SB 425,SB,Senate Bill,11,11,"Senate Bill
425; Senate Bill 425"
HB 35,HB,House Bill,11,11,"HB
35; HB 35; House Bill
35; House Bill 35; house Bill 35"
HB 104,HB,House Bill,11,11,"HB
104; HB 104; House Bill
104; House Bill 104; house Bill 104"
SB 283,SB,Senate Bill,11,11,"SB 283; Senate Bill
283; Senate Bill 283"
SB 57,SB,Senate Bill,11,11,"SB
57; SB 57; Senate Bill
57; Senate Bill 57"
HJR 2,HJR,House Joint Resolution,11,11,"HJR 2; HJR2; House Joint Resolution 2; House Joint resolution
2; House joint resolution 2"
HB 340,HB,House Bill,11,11,House Bill 340
HB 493,HB,House Bill,10,10,"House Bill
493; House Bill 493"
SB 377,SB,Senate Bill,10,10,"SB 377; Senate Bill
377; Senate Bill 377"
SB 241,SB,Senate Bill,10,10,"SB
241; SB 241; Senate Bill
241; Senate Bill 241; Senate bill 241"
HB 148,HB,House Bill,10,10,"HB 148; House Bill
148; House Bill 148; house Bill
148; house Bill 148"
HB 232,HB,House Bill,10,10,"House Bill
232; House Bill 232; house Bill
232; house Bill 232; house bill
232"
HB 236,HB,House Bill,10,10,"HB 236; House Bill
236; House Bill 236; house Bill
236; house Bill 236"
HB 444,HB,House Bill,10,10,"HB 444; House Bill
444; House Bill 444"
HB 73,HB,House Bill,10,10,"HB 73; HB73; House Bill
73; House Bill 73; house Bill 73"
SB 387,SB,Senate Bill,10,10,SB 387; Senate Bill 387; Senate bill 387
HB 433,HB,House Bill,10,10,"House Bill
433; House Bill 433"
HB 240,HB,House Bill,10,10,"House Bill
240; House Bill 240; house Bill 240"
SB 153,SB,Senate Bill,10,10,"SB 153; Senate Bill
153; Senate Bill 153"
HB 79,HB,House Bill,10,10,"HB
79; HB 79; House Bill
79; House Bill 79; house bill
79"
HB 346,HB,House Bill,10,10,"HB
346; HB 346; House Bill
346; House Bill 346"
HB 348,HB,House Bill,10,10,"HB
348; HB 348; House Bill
348; House Bill 348"
HB 361,HB,House Bill,10,10,"HB 361; House Bill
361; House Bill 361; House bill 361"
HB 133,HB,House Bill,10,10,"HB
133; HB 133; House Bill
133; House Bill 133; house Bill 133"
HB 402,HB,House Bill,10,10,"HB 402; House Bill
402; House Bill 402"
SB 278,SB,Senate Bill,10,10,"Senate Bill
278; Senate Bill 278"
SB 318,SB,Senate Bill,10,10,"SB 318; Senate Bill
318; Senate Bill 318"
SB 128,SB,Senate Bill,10,10,"SB
128; SB 128; Senate Bill
128; Senate Bill 128"
SB 267,SB,Senate Bill,10,10,"SB 267; Senate Bill
267; Senate Bill 267; Senate bill
267; Senate bill 267"
SB 148,SB,Senate Bill,10,10,"SB 148; Senate Bill
148; Senate Bill 148"
SB 152,SB,Senate Bill,10,10,"Senate Bill
152; Senate Bill 152; Senate bill 152"
SB 221,SB,Senate Bill,10,10,"Senate Bill
221; Senate Bill 221; Senate bill 221"
SB 239,SB,Senate Bill,10,10,"Senate Bill
239; Senate Bill 239; Senate bill 239"
SB 59,SB,Senate Bill,10,10,"SB 59; Senate Bill
59; Senate Bill 59; Senate bill 59"
SB 81,SB,Senate Bill,10,10,"SB 81; Senate Bill
81; Senate Bill 81; Senate bill
81"
SB 123,SB,Senate Bill,10,10,"SB
123; SB 123; Senate Bill
123; Senate Bill 123"
SB 315,SB,Senate Bill,10,10,"SB 315; Senate Bill
315; Senate Bill 315; Senate bill 315"
SB 176,SB,Senate Bill,10,10,"SB
176; SB 176; Senate Bill
176; Senate Bill 176"
HB 67,HB,House Bill,10,10,"HB 67; House Bill
67; House Bill 67"
HB 532,HB,House Bill,10,10,"House Bill
532; House Bill 532"
HB 89,HB,House Bill,10,10,"HB 89; HB89; House Bill
89; House Bill 89; house Bill 89"
SB 155,SB,Senate Bill,10,10,"Senate Bill
155; Senate Bill 155"
HB 230,HB,House Bill,10,10,"HB
230; HB 230; House Bill
230; House Bill 230; house Bill
230"
HB 243,HB,House Bill,10,10,"HB
243; HB 243; House Bill
243; House Bill 243; house Bill 243"
HB 34,HB,House Bill,10,10,"HB
34; HB 34; House Bill
34; House Bill 34; house Bill 34"
SB 66,SB,Senate Bill,10,10,"SB 66; Senate Bill
66; Senate Bill 66; Senate bill
66"
HB 431,HB,House Bill,10,10,"HB 431; House Bill
431; House Bill 431"
SB 375,SB,Senate Bill,10,10,"SB
375; Senate Bill 375; Senate bill 375"
HB 244,HB,House Bill,10,10,"House Bill
244; House Bill 244; house bill 244"
