bill_id,bill_type,transcript_file
SB 70,SB,House-Government_ElectionsAndIndianAffairs_Wednesday_Mar12_2025_845AM-1109AM - 2025-09-12.cc.txt
SB 70,SB,SenateChamber_Saturday_Mar1_2025_108PM-648PM - 2025-09-12.cc.txt
SB 70,SB,SenateChamber_Thursday_Mar6_2025_1119AM-227PM - 2025-09-12.cc.txt
SB 70,SB,SenateChamber_Wednesday_Jan22_2025_1250PM-144PM - 2025-09-12.cc.txt
SB 70,SB,HouseChamber_Friday_Feb9_2024_657PM-800PM - 2025-09-12.cc.txt
SB 70,SB,HouseChamber_Tuesday_Feb6_2024_1100AM-415PM - 2025-09-12.cc.txt
SB 131,SB,Senate-Finance_Wednesday_Jan31_2024_350PM-448PM - 2025-09-12.cc.txt
SB 131,SB,IC-LegislativeEducationStudy_Friday_Nov15_2024_911AM-1158AM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Monday_Jul14_2025_917AM-1122AM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Monday_Jul1_2024_1005AM-1202PM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Monday_Jun9_2025_935AM-1036AM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Monday_May20_2024_154PM-257PM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Tuesday_Dec17_2024_1242PM-338PM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Wednesday_Aug14_2024_113PM-316PM - 2025-09-12.cc.txt
SB 131,SB,IC-PublicSchoolCapitalOutlayOversightTask_Wednesday_Sep25_2024_1114AM-255PM - 2025-09-12.cc.txt
SB 131,SB,Other-PSCOC_Monday_Apr14_2025_909AM-1251PM - 2025-09-12.cc.txt
SB 131,SB,Other-PSCOC_Monday_Dec16_2024_912AM-1120AM - 2025-09-12.cc.txt
SB 131,SB,Other-PSCOC_Wednesday_Jan15_2025_901AM-1023AM - 2025-09-12.cc.txt
SB 131,SB,Other-PSCOC_Wednesday_Sep11_2024_900AM-1152AM - 2025-09-12.cc.txt
SB 131,SB,SenateChamber_Friday_Mar21_2025_737PM-207AM - 2025-09-12.cc.txt
SB 131,SB,SenateChamber_Thursday_Jan23_2025_1209PM-1248PM - 2025-09-12.cc.txt
HB 178,HB,House-HealthandHumanServices_Monday_Feb10_2025_834AM-1126AM - 2025-09-12.cc.txt
HB 178,HB,House-HealthandHumanServices_Wednesday_Feb12_2025_834AM-1129AM - 2025-09-12.cc.txt
HB 178,HB,House-Judiciary_Monday_Feb24_2025_424PM-758PM - 2025-09-12.cc.txt
HB 178,HB,Senate-Judiciary_Saturday_Mar15_2025_537PM-832PM - 2025-09-12.cc.txt
